split,feature_set,model,maturity,mae_bp,rmse_bp
validation,daily_lstm,daily_lstm,overall,2.391,3.496
validation,daily_lstm,daily_lstm,3M,1.568,2.399
validation,daily_lstm,daily_lstm,6M,1.479,2.354
validation,daily_lstm,daily_lstm,1Y,1.653,2.483
validation,daily_lstm,daily_lstm,2Y,2.366,3.332
validation,daily_lstm,daily_lstm,5Y,3.135,4.168
validation,daily_lstm,daily_lstm,10Y,3.245,4.365
validation,daily_lstm,daily_lstm,30Y,3.289,4.534
test,daily_lstm,daily_lstm,overall,3.756,5.502
test,daily_lstm,daily_lstm,3M,2.056,3.56
test,daily_lstm,daily_lstm,6M,2.212,3.694
test,daily_lstm,daily_lstm,1Y,3.361,5.391
test,daily_lstm,daily_lstm,2Y,4.68,6.729
test,daily_lstm,daily_lstm,5Y,5.0,6.674
test,daily_lstm,daily_lstm,10Y,4.731,6.066
test,daily_lstm,daily_lstm,30Y,4.252,5.469
validation,daily_lstm,persistence_zero_change,overall,2.327,3.475
validation,daily_lstm,persistence_zero_change,3M,1.507,2.449
validation,daily_lstm,persistence_zero_change,6M,1.414,2.309
validation,daily_lstm,persistence_zero_change,1Y,1.541,2.433
validation,daily_lstm,persistence_zero_change,2Y,2.318,3.334
validation,daily_lstm,persistence_zero_change,5Y,3.021,4.102
validation,daily_lstm,persistence_zero_change,10Y,3.213,4.344
validation,daily_lstm,persistence_zero_change,30Y,3.273,4.526
validation,daily_lstm,linear_regression,overall,2.589,3.681
validation,daily_lstm,linear_regression,3M,1.837,2.659
validation,daily_lstm,linear_regression,6M,1.648,2.445
validation,daily_lstm,linear_regression,1Y,1.826,2.627
validation,daily_lstm,linear_regression,2Y,2.631,3.59
validation,daily_lstm,linear_regression,5Y,3.321,4.388
validation,daily_lstm,linear_regression,10Y,3.447,4.584
validation,daily_lstm,linear_regression,30Y,3.412,4.665
test,daily_lstm,persistence_zero_change,overall,3.675,5.453
test,daily_lstm,persistence_zero_change,3M,1.898,3.51
test,daily_lstm,persistence_zero_change,6M,2.103,3.638
test,daily_lstm,persistence_zero_change,1Y,3.219,5.252
test,daily_lstm,persistence_zero_change,2Y,4.6,6.668
test,daily_lstm,persistence_zero_change,5Y,4.967,6.668
test,daily_lstm,persistence_zero_change,10Y,4.706,6.046
test,daily_lstm,persistence_zero_change,30Y,4.234,5.437
test,daily_lstm,linear_regression,overall,3.946,5.643
test,daily_lstm,linear_regression,3M,2.431,3.745
test,daily_lstm,linear_regression,6M,2.42,3.78
test,daily_lstm,linear_regression,1Y,3.461,5.352
test,daily_lstm,linear_regression,2Y,4.82,6.794
test,daily_lstm,linear_regression,5Y,5.164,6.882
test,daily_lstm,linear_regression,10Y,4.884,6.313
test,daily_lstm,linear_regression,30Y,4.44,5.705
validation,multi_frequency_lstm,multi_frequency_lstm,overall,2.456,3.554
validation,multi_frequency_lstm,multi_frequency_lstm,3M,1.732,2.493
validation,multi_frequency_lstm,multi_frequency_lstm,6M,1.505,2.228
validation,multi_frequency_lstm,multi_frequency_lstm,1Y,1.631,2.504
validation,multi_frequency_lstm,multi_frequency_lstm,2Y,2.504,3.495
validation,multi_frequency_lstm,multi_frequency_lstm,5Y,3.155,4.234
validation,multi_frequency_lstm,multi_frequency_lstm,10Y,3.324,4.438
validation,multi_frequency_lstm,multi_frequency_lstm,30Y,3.34,4.599
test,multi_frequency_lstm,multi_frequency_lstm,overall,3.805,5.544
test,multi_frequency_lstm,multi_frequency_lstm,3M,2.174,3.59
test,multi_frequency_lstm,multi_frequency_lstm,6M,2.279,3.696
test,multi_frequency_lstm,multi_frequency_lstm,1Y,3.309,5.269
test,multi_frequency_lstm,multi_frequency_lstm,2Y,4.705,6.75
test,multi_frequency_lstm,multi_frequency_lstm,5Y,5.059,6.78
test,multi_frequency_lstm,multi_frequency_lstm,10Y,4.816,6.25
test,multi_frequency_lstm,multi_frequency_lstm,30Y,4.292,5.5
validation,multi_frequency_lstm,persistence_zero_change,overall,2.327,3.475
validation,multi_frequency_lstm,persistence_zero_change,3M,1.512,2.453
validation,multi_frequency_lstm,persistence_zero_change,6M,1.416,2.311
validation,multi_frequency_lstm,persistence_zero_change,1Y,1.54,2.43
validation,multi_frequency_lstm,persistence_zero_change,2Y,2.316,3.332
validation,multi_frequency_lstm,persistence_zero_change,5Y,3.018,4.098
validation,multi_frequency_lstm,persistence_zero_change,10Y,3.212,4.343
validation,multi_frequency_lstm,persistence_zero_change,30Y,3.276,4.529
validation,multi_frequency_lstm,linear_regression,overall,2.651,3.745
validation,multi_frequency_lstm,linear_regression,3M,1.936,2.76
validation,multi_frequency_lstm,linear_regression,6M,1.722,2.527
validation,multi_frequency_lstm,linear_regression,1Y,1.899,2.699
validation,multi_frequency_lstm,linear_regression,2Y,2.683,3.67
validation,multi_frequency_lstm,linear_regression,5Y,3.374,4.45
validation,multi_frequency_lstm,linear_regression,10Y,3.499,4.636
validation,multi_frequency_lstm,linear_regression,30Y,3.445,4.704
test,multi_frequency_lstm,persistence_zero_change,overall,3.679,5.457
test,multi_frequency_lstm,persistence_zero_change,3M,1.899,3.513
test,multi_frequency_lstm,persistence_zero_change,6M,2.105,3.641
test,multi_frequency_lstm,persistence_zero_change,1Y,3.223,5.257
test,multi_frequency_lstm,persistence_zero_change,2Y,4.609,6.675
test,multi_frequency_lstm,persistence_zero_change,5Y,4.973,6.674
test,multi_frequency_lstm,persistence_zero_change,10Y,4.708,6.048
test,multi_frequency_lstm,persistence_zero_change,30Y,4.233,5.438
test,multi_frequency_lstm,linear_regression,overall,3.994,5.679
test,multi_frequency_lstm,linear_regression,3M,2.523,3.838
test,multi_frequency_lstm,linear_regression,6M,2.464,3.811
test,multi_frequency_lstm,linear_regression,1Y,3.508,5.375
test,multi_frequency_lstm,linear_regression,2Y,4.857,6.804
test,multi_frequency_lstm,linear_regression,5Y,5.199,6.909
test,multi_frequency_lstm,linear_regression,10Y,4.926,6.368
test,multi_frequency_lstm,linear_regression,30Y,4.481,5.747
